"name","type","class","S3method","generic","package","Rversion"
"bkde","closure","function",FALSE,FALSE,"KernSmooth","3.4.3"
"bkde2D","closure","function",FALSE,FALSE,"KernSmooth","3.4.3"
"bkfe","closure","function",FALSE,FALSE,"KernSmooth","3.4.3"
"dpih","closure","function",FALSE,FALSE,"KernSmooth","3.4.3"
"dpik","closure","function",FALSE,FALSE,"KernSmooth","3.4.3"
"dpill","closure","function",FALSE,FALSE,"KernSmooth","3.4.3"
"locpoly","closure","function",FALSE,FALSE,"KernSmooth","3.4.3"
"Aids2","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"Animals","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"Boston","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"Cars93","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"Cushings","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"DDT","double","numeric",FALSE,FALSE,"MASS","3.4.3"
"GAGurine","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"Insurance","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"Melanoma","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"Null","closure","function",FALSE,FALSE,"MASS","3.4.3"
"OME","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"Pima.te","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"Pima.tr","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"Pima.tr2","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"Rabbit","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"Rubber","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"SP500","double","numeric",FALSE,FALSE,"MASS","3.4.3"
"Shepard","closure","function",FALSE,FALSE,"MASS","3.4.3"
"Sitka","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"Sitka89","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"Skye","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"Traffic","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"UScereal","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"UScrime","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"VA","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"abbey","double","numeric",FALSE,FALSE,"MASS","3.4.3"
"accdeaths","double","ts",FALSE,FALSE,"MASS","3.4.3"
"addterm","closure","function",FALSE,FALSE,"MASS","3.4.3"
"anorexia","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"area","closure","function",FALSE,FALSE,"MASS","3.4.3"
"as.fractions","closure","function",FALSE,FALSE,"MASS","3.4.3"
"bacteria","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"bandwidth.nrd","closure","function",FALSE,FALSE,"MASS","3.4.3"
"bcv","closure","function",FALSE,FALSE,"MASS","3.4.3"
"beav1","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"beav2","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"biopsy","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"birthwt","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"boxcox","closure","function",FALSE,FALSE,"MASS","3.4.3"
"cabbages","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"caith","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"cats","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"cement","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"chem","double","numeric",FALSE,FALSE,"MASS","3.4.3"
"con2tr","closure","function",FALSE,FALSE,"MASS","3.4.3"
"contr.sdif","closure","function",FALSE,FALSE,"MASS","3.4.3"
"coop","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"corresp","closure","function",FALSE,FALSE,"MASS","3.4.3"
"cov.mcd","closure","function",FALSE,FALSE,"MASS","3.4.3"
"cov.mve","closure","function",FALSE,FALSE,"MASS","3.4.3"
"cov.rob","closure","function",FALSE,FALSE,"MASS","3.4.3"
"cov.trob","closure","function",FALSE,FALSE,"MASS","3.4.3"
"cpus","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"crabs","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"deaths","double","ts",FALSE,FALSE,"MASS","3.4.3"
"denumerate","closure","function",FALSE,FALSE,"MASS","3.4.3"
"dose.p","closure","function",FALSE,FALSE,"MASS","3.4.3"
"drivers","double","ts",FALSE,FALSE,"MASS","3.4.3"
"dropterm","closure","function",FALSE,FALSE,"MASS","3.4.3"
"eagles","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"enlist","closure","function",FALSE,FALSE,"MASS","3.4.3"
"epil","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"eqscplot","closure","function",FALSE,FALSE,"MASS","3.4.3"
"farms","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"fbeta","closure","function",FALSE,FALSE,"MASS","3.4.3"
"fgl","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"fitdistr","closure","function",FALSE,FALSE,"MASS","3.4.3"
"forbes","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"fractions","closure","function",FALSE,FALSE,"MASS","3.4.3"
"frequency.polygon","closure","function",FALSE,FALSE,"MASS","3.4.3"
"galaxies","double","numeric",FALSE,FALSE,"MASS","3.4.3"
"gamma.dispersion","closure","function",FALSE,FALSE,"MASS","3.4.3"
"gamma.shape","closure","function",FALSE,FALSE,"MASS","3.4.3"
"gehan","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"genotype","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"geyser","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"gilgais","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"ginv","closure","function",FALSE,FALSE,"MASS","3.4.3"
"glm.convert","closure","function",FALSE,FALSE,"MASS","3.4.3"
"glm.nb","closure","function",FALSE,FALSE,"MASS","3.4.3"
"glmmPQL","closure","function",FALSE,FALSE,"MASS","3.4.3"
"hills","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"hist.FD","closure","function",FALSE,FALSE,"MASS","3.4.3"
"hist.scott","closure","function",FALSE,FALSE,"MASS","3.4.3"
"housing","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"huber","closure","function",FALSE,FALSE,"MASS","3.4.3"
"hubers","closure","function",FALSE,FALSE,"MASS","3.4.3"
"immer","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"is.fractions","closure","function",FALSE,FALSE,"MASS","3.4.3"
"isoMDS","closure","function",FALSE,FALSE,"MASS","3.4.3"
"kde2d","closure","function",FALSE,FALSE,"MASS","3.4.3"
"lda","closure","function",FALSE,FALSE,"MASS","3.4.3"
"ldahist","closure","function",FALSE,FALSE,"MASS","3.4.3"
"leuk","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"lm.gls","closure","function",FALSE,FALSE,"MASS","3.4.3"
"lm.ridge","closure","function",FALSE,FALSE,"MASS","3.4.3"
"lmsreg","closure","function",FALSE,FALSE,"MASS","3.4.3"
"lmwork","closure","function",FALSE,FALSE,"MASS","3.4.3"
"loglm","closure","function",FALSE,FALSE,"MASS","3.4.3"
"loglm1","closure","function",FALSE,FALSE,"MASS","3.4.3"
"logtrans","closure","function",FALSE,FALSE,"MASS","3.4.3"
"lqs","closure","function",FALSE,FALSE,"MASS","3.4.3"
"lqs.formula","closure","function",TRUE,FALSE,"MASS","3.4.3"
"ltsreg","closure","function",FALSE,FALSE,"MASS","3.4.3"
"mammals","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"mca","closure","function",FALSE,FALSE,"MASS","3.4.3"
"mcycle","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"menarche","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
"michelson","list","data.frame",FALSE,FALSE,"MASS","3.4.3"
