"name","type","class","exported","S4generic","args","package","priority","Rversion","status","hidden"
"!","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"!=","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"$","special","","TRUE","NA","","base","NA","0.61.1","released",F
"$<-","special","","TRUE","NA","","base","NA","0.61.1","released",F
"%%","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"%*%","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"%/%","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"%in%","closure","","TRUE","FALSE","(x, y) ","base","NA","0.61.1","released",F
"%o%","closure","","TRUE","FALSE","(x, y, FUN = ""*"", ...) ","base","NA","0.61.1","released",F
"&","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"&&","special","","TRUE","NA","","base","NA","0.61.1","released",F
"(","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"*","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"+","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"-","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
".AutoloadEnv","environment","","TRUE","FALSE","NA","base","NA","0.61.1","released",T
".C","builtin","","TRUE","NA","","base","NA","0.61.1","released",T
".First","closure","","TRUE","FALSE","() ","base","NA","0.61.1","released",T
".Fortran","builtin","","TRUE","NA","","base","NA","0.61.1","released",T
".GlobalEnv","environment","","TRUE","FALSE","NA","base","NA","0.61.1","released",T
".Internal","special","","TRUE","NA","","base","NA","0.61.1","released",T
".Last.value","NULL","","TRUE","FALSE","NA","base","NA","0.61.1","released",T
".Library","character","","TRUE","FALSE","NA","base","NA","0.61.1","released",T
".Machine","list","","TRUE","FALSE","NA","base","NA","0.61.1","released",T
".Options","list","","TRUE","FALSE","NA","base","NA","0.61.1","released",T
".Pars","character","","TRUE","FALSE","NA","base","NA","0.61.1","released",T
".PostScript.Options","list","","TRUE","FALSE","NA","base","NA","0.61.1","released",T
".format.Internal","builtin","","TRUE","NA","","base","NA","0.61.1","released",T
".lib.loc","character","","TRUE","FALSE","NA","base","NA","0.61.1","released",T
".not.yet.implemented","closure","","TRUE","FALSE","() ","base","NA","0.61.1","released",T
".packages","closure","","TRUE","FALSE","() ","base","NA","0.61.1","released",T
"/","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
":","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"<","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"<-","special","","TRUE","NA","","base","NA","0.61.1","released",F
"<<-","special","","TRUE","NA","","base","NA","0.61.1","released",F
"<=","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"==","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
">","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
">=","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"Arg","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"Conj","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"D","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"F","logical","","TRUE","FALSE","NA","base","NA","0.61.1","released",F
"Gamma","closure","","TRUE","FALSE","(link = ""inverse"") ","base","NA","0.61.1","released",F
"I","closure","","TRUE","FALSE","(x) ","base","NA","0.61.1","released",F
"IQR","closure","","TRUE","FALSE","(x) ","base","NA","0.61.1","released",F
"Im","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"LETTERS","character","","TRUE","FALSE","NA","base","NA","0.61.1","released",F
"Machine","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"Mod","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"NCOL","closure","","TRUE","FALSE","(x) ","base","NA","0.61.1","released",F
"NROW","closure","","TRUE","FALSE","(x) ","base","NA","0.61.1","released",F
"NextMethod","closure","","TRUE","FALSE","(generic = NULL, object = NULL, ...) ","base","NA","0.61.1","released",F
"Re","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"Recall","closure","","TRUE","FALSE","(...) ","base","NA","0.61.1","released",F
"T","logical","","TRUE","FALSE","NA","base","NA","0.61.1","released",F
"UseMethod","special","","TRUE","NA","","base","NA","0.61.1","released",F
"Version","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"[","special","","TRUE","NA","","base","NA","0.61.1","released",F
"[.data.frame","special","","TRUE","NA","","base","NA","0.61.1","released",F
"[.formula","closure","","TRUE","FALSE","(x, i) ","base","NA","0.61.1","released",F
"[.noquote","closure","","TRUE","FALSE","(x, subs) ","base","NA","0.61.1","released",F
"[.ts","closure","","TRUE","FALSE","(x, i, j, drop = T) ","base","NA","0.61.1","released",F
"[<-","special","","TRUE","NA","","base","NA","0.61.1","released",F
"[<-.data.frame","special","","TRUE","NA","","base","NA","0.61.1","released",F
