"name","type","class","exported","generic","args","package","Rversion"
"!                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                         ","base   ","0.62.4"
"!=                        ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                         ","base   ","0.62.4"
"$                         ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                         ","base   ","0.62.4"
"$<-                       ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                         ","base   ","0.62.4"
"%%                        ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                         ","base   ","0.62.4"
"%*%                       ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                         ","base   ","0.62.4"
"%/%                       ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                         ","base   ","0.62.4"
"%in%                      ","closure    ","           ","TRUE","FALSE","(x, y)                                                                                                                                                                                                                                                                                                                                                                   ","base   ","0.62.4"
"%o%                       ","closure    ","           ","TRUE","FALSE","(x, y, FUN = \""*\"", ...)                                                                                                                                                                                                                                                                                                                                                 ","base   ","0.62.4"
"&                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                         ","base   ","0.62.4"
"&&                        ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                         ","base   ","0.62.4"
"(                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                         ","base   ","0.62.4"
"*                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                         ","base   ","0.62.4"
"+                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                         ","base   ","0.62.4"
"-                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                         ","base   ","0.62.4"
".Alias                    ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                         ","base   ","0.62.4"
".AutoloadEnv              ","environment","           ","TRUE","FALSE","NA","base   ","0.62.4"
".C                        ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                         ","base   ","0.62.4"
".Defunct                  ","closure    ","           ","TRUE","FALSE","()                                                                                                                                                                                                                                                                                                                                                                       ","base   ","0.62.4"
".Deprecated               ","closure    ","           ","TRUE","FALSE","(new)                                                                                                                                                                                                                                                                                                                                                                    ","base   ","0.62.4"
".Device                   ","character  ","           ","TRUE","FALSE","NA","base   ","0.62.4"
".Devices                  ","list       ","           ","TRUE","FALSE","NA","base   ","0.62.4"
".Fortran                  ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                         ","base   ","0.62.4"
".GlobalEnv                ","environment","           ","TRUE","FALSE","NA","base   ","0.62.4"
".Internal                 ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                         ","base   ","0.62.4"
".Last.value               ","character  ","           ","TRUE","FALSE","NA","base   ","0.62.4"
".Library                  ","character  ","           ","TRUE","FALSE","NA","base   ","0.62.4"
".Machine                  ","list       ","           ","TRUE","FALSE","NA","base   ","0.62.4"
".NotYetImplemented        ","closure    ","           ","TRUE","FALSE","()                                                                                                                                                                                                                                                                                                                                                                       ","base   ","0.62.4"
".NotYetUsed               ","closure    ","           ","TRUE","FALSE","(x)                                                                                                                                                                                                                                                                                                                                                                      ","base   ","0.62.4"
".Options                  ","list       ","           ","TRUE","FALSE","NA","base   ","0.62.4"
".Pars                     ","character  ","           ","TRUE","FALSE","NA","base   ","0.62.4"
".PostScript.Options       ","list       ","           ","TRUE","FALSE","NA","base   ","0.62.4"
