"name","type","class","exported","S4generic","args","package","priority","Rversion","hidden"
".First.lib","closure","function","TRUE","FALSE","(lib, pkg) ","KernSmooth","NA","1.5.0", TRUE
"bkde","closure","function","TRUE","FALSE","(x, kernel = ""normal"", canonical = FALSE, bandwidth,     gridsize = 401, range.x, truncate = TRUE) ","KernSmooth","NA","1.5.0",FALSE
"bkde2D","closure","function","TRUE","FALSE","(x, bandwidth, gridsize = c(51, 51), range.x, truncate = TRUE) ","KernSmooth","NA","1.5.0",FALSE
"bkfe","closure","function","TRUE","FALSE","(x, drv, bandwidth, gridsize = 401, range.x, binned = FALSE,     truncate = TRUE) ","KernSmooth","NA","1.5.0",FALSE
"blkest","closure","function","TRUE","FALSE","(x, y, Nval, q) ","KernSmooth","NA","1.5.0",FALSE
"cpblock","closure","function","TRUE","FALSE","(X, Y, Nmax, q) ","KernSmooth","NA","1.5.0",FALSE
"dpih","closure","function","TRUE","FALSE","(x, scalest = ""minim"", level = 2, gridsize = 401, range.x = range(x),     truncate = TRUE) ","KernSmooth","NA","1.5.0",FALSE
"dpik","closure","function","TRUE","FALSE","(x, scalest = ""minim"", level = 2, kernel = ""normal"",     canonical = FALSE, gridsize = 401, range.x = range(x), truncate = TRUE) ","KernSmooth","NA","1.5.0",FALSE
"dpill","closure","function","TRUE","FALSE","(x, y, blockmax = 5, divisor = 20, trim = 0.01, proptrun = 0.05,     gridsize = 401, range.x = range(x), truncate = TRUE) ","KernSmooth","NA","1.5.0",FALSE
"linbin","closure","function","TRUE","FALSE","(X, gpoints, truncate = TRUE) ","KernSmooth","NA","1.5.0",FALSE
"linbin2D","closure","function","TRUE","FALSE","(X, gpoints1, gpoints2) ","KernSmooth","NA","1.5.0",FALSE
"locpoly","closure","function","TRUE","FALSE","(x, y, drv = 0, degree, kernel = ""normal"", bandwidth,     gridsize = 401, bwdisc = 25, range.x, binned = FALSE, truncate = TRUE) ","KernSmooth","NA","1.5.0",FALSE
"rlbin","closure","function","TRUE","FALSE","(X, Y, gpoints, truncate = TRUE) ","KernSmooth","NA","1.5.0",FALSE
"sdiag","closure","function","TRUE","FALSE","(x, drv = 0, degree = 1, kernel = ""normal"", bandwidth,     gridsize = 401, bwdisc = 25, range.x, binned = FALSE, truncate = TRUE) ","KernSmooth","NA","1.5.0",FALSE
"sstdiag","closure","function","TRUE","FALSE","(x, drv = 0, degree = 1, kernel = ""normal"", bandwidth,     gridsize = 401, bwdisc = 25, range.x, binned = FALSE, truncate = TRUE) ","KernSmooth","NA","1.5.0",FALSE
".First.lib","closure","function","TRUE","FALSE","(lib, pkg) ","MASS","NA","1.5.0", TRUE
