"name","type","class","exported","generic","args","package","priority","Rversion"
"bkde","closure","function","TRUE","FALSE","(x, kernel = ""normal"", canonical = FALSE, bandwidth,     gridsize = 401, range.x, truncate = TRUE) ","KernSmooth","recommended","2.5.0"
"bkde2D","closure","function","TRUE","FALSE","(x, bandwidth, gridsize = c(51, 51), range.x, truncate = TRUE) ","KernSmooth","recommended","2.5.0"
"bkfe","closure","function","TRUE","FALSE","(x, drv, bandwidth, gridsize = 401, range.x, binned = FALSE,     truncate = TRUE) ","KernSmooth","recommended","2.5.0"
"dpih","closure","function","TRUE","FALSE","(x, scalest = ""minim"", level = 2, gridsize = 401, range.x = range(x),     truncate = TRUE) ","KernSmooth","recommended","2.5.0"
"dpik","closure","function","TRUE","FALSE","(x, scalest = ""minim"", level = 2, kernel = ""normal"",     canonical = FALSE, gridsize = 401, range.x = range(x), truncate = TRUE) ","KernSmooth","recommended","2.5.0"
"dpill","closure","function","TRUE","FALSE","(x, y, blockmax = 5, divisor = 20, trim = 0.01, proptrun = 0.05,     gridsize = 401, range.x = range(x), truncate = TRUE) ","KernSmooth","recommended","2.5.0"
"locpoly","closure","function","TRUE","FALSE","(x, y, drv = 0, degree, kernel = ""normal"", bandwidth,     gridsize = 401, bwdisc = 25, range.x, binned = FALSE, truncate = TRUE) ","KernSmooth","recommended","2.5.0"
"Aids2","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.5.0"
"Animals","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.5.0"
"Boston","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.5.0"
"Cars93","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.5.0"
"Cushings","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.5.0"
"DDT","double","numeric","FALSE","FALSE","NA","MASS","recommended","2.5.0"
"GAGurine","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.5.0"
"Insurance","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.5.0"
"Melanoma","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.5.0"
"Null","closure","function","TRUE","FALSE","(M) ","MASS","recommended","2.5.0"
"OME","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.5.0"
"Pima.te","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.5.0"
"Pima.tr","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.5.0"
"Pima.tr2","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.5.0"
"Rabbit","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.5.0"
"Rubber","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.5.0"
"SP500","double","numeric","FALSE","FALSE","NA","MASS","recommended","2.5.0"
"Shepard","closure","function","TRUE","FALSE","(d, x, p = 2) ","MASS","recommended","2.5.0"
"Sitka","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.5.0"
"Sitka89","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.5.0"
"Skye","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.5.0"
"Traffic","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.5.0"
