"name","type","class","S3method","generic","package","Rversion"
"!","builtin","function",FALSE,FALSE,"base","3.3.2"
"!.hexmode","closure","function",TRUE,FALSE,"base","3.3.2"
"!.octmode","closure","function",TRUE,FALSE,"base","3.3.2"
"!=","builtin","function",FALSE,TRUE,"base","3.3.2"
"$","special","function",FALSE,TRUE,"base","3.3.2"
"$.DLLInfo","closure","function",TRUE,FALSE,"base","3.3.2"
"$.data.frame","closure","function",TRUE,FALSE,"base","3.3.2"
"$.package_version","closure","function",TRUE,FALSE,"base","3.3.2"
"$<-","special","function",FALSE,TRUE,"base","3.3.2"
"$<-.data.frame","closure","function",TRUE,FALSE,"base","3.3.2"
"%%","builtin","function",FALSE,TRUE,"base","3.3.2"
"%*%","builtin","function",FALSE,FALSE,"base","3.3.2"
"%/%","builtin","function",FALSE,TRUE,"base","3.3.2"
"%in%","closure","function",FALSE,FALSE,"base","3.3.2"
"%o%","closure","function",FALSE,FALSE,"base","3.3.2"
"%x%","closure","function",FALSE,FALSE,"base","3.3.2"
"&","builtin","function",FALSE,TRUE,"base","3.3.2"
"&&","special","function",FALSE,FALSE,"base","3.3.2"
"&.hexmode","closure","function",TRUE,FALSE,"base","3.3.2"
"&.octmode","closure","function",TRUE,FALSE,"base","3.3.2"
"(","builtin","function",FALSE,FALSE,"base","3.3.2"
"*","builtin","function",FALSE,TRUE,"base","3.3.2"
"*.difftime","closure","function",TRUE,FALSE,"base","3.3.2"
"+","builtin","function",FALSE,TRUE,"base","3.3.2"
"+.Date","closure","function",TRUE,FALSE,"base","3.3.2"
"+.POSIXt","closure","function",TRUE,FALSE,"base","3.3.2"
"-","builtin","function",FALSE,TRUE,"base","3.3.2"
"-.Date","closure","function",TRUE,FALSE,"base","3.3.2"
"-.POSIXt","closure","function",TRUE,FALSE,"base","3.3.2"
"/","builtin","function",FALSE,TRUE,"base","3.3.2"
"/.difftime","closure","function",TRUE,FALSE,"base","3.3.2"
":","builtin","function",FALSE,FALSE,"base","3.3.2"
"::","closure","function",FALSE,FALSE,"base","3.3.2"
":::","closure","function",FALSE,FALSE,"base","3.3.2"
"<","builtin","function",FALSE,TRUE,"base","3.3.2"
"<-","special","function",FALSE,FALSE,"base","3.3.2"
"<<-","special","function",FALSE,FALSE,"base","3.3.2"
"<=","builtin","function",FALSE,TRUE,"base","3.3.2"
"=","special","function",FALSE,FALSE,"base","3.3.2"
"==","builtin","function",FALSE,TRUE,"base","3.3.2"
">","builtin","function",FALSE,TRUE,"base","3.3.2"
">=","builtin","function",FALSE,TRUE,"base","3.3.2"
"@","special","function",FALSE,FALSE,"base","3.3.2"
"@<-","special","function",FALSE,FALSE,"base","3.3.2"
"Arg","builtin","function",FALSE,FALSE,"base","3.3.2"
"Conj","builtin","function",FALSE,FALSE,"base","3.3.2"
"Cstack_info","closure","function",FALSE,FALSE,"base","3.3.2"
"Encoding","closure","function",FALSE,FALSE,"base","3.3.2"
"Encoding<-","closure","function",FALSE,FALSE,"base","3.3.2"
"F","logical","logical",FALSE,FALSE,"base","3.3.2"
"Filter","closure","function",FALSE,FALSE,"base","3.3.2"
"Find","closure","function",FALSE,FALSE,"base","3.3.2"
"I","closure","function",FALSE,FALSE,"base","3.3.2"
"ISOdate","closure","function",FALSE,FALSE,"base","3.3.2"
"ISOdatetime","closure","function",FALSE,FALSE,"base","3.3.2"
"Im","builtin","function",FALSE,FALSE,"base","3.3.2"
"LETTERS","character","character",FALSE,FALSE,"base","3.3.2"
"La.svd","closure","function",FALSE,FALSE,"base","3.3.2"
"La_version","closure","function",FALSE,FALSE,"base","3.3.2"
"Map","closure","function",FALSE,FALSE,"base","3.3.2"
"Math.Date","closure","function",TRUE,FALSE,"base","3.3.2"
"Math.POSIXt","closure","function",TRUE,FALSE,"base","3.3.2"
"Math.data.frame","closure","function",TRUE,FALSE,"base","3.3.2"
"Math.difftime","closure","function",TRUE,FALSE,"base","3.3.2"
"Math.factor","closure","function",TRUE,FALSE,"base","3.3.2"
"Mod","builtin","function",FALSE,FALSE,"base","3.3.2"
"NCOL","closure","function",FALSE,FALSE,"base","3.3.2"
"NROW","closure","function",FALSE,FALSE,"base","3.3.2"
"Negate","closure","function",FALSE,FALSE,"base","3.3.2"
"NextMethod","closure","function",FALSE,FALSE,"base","3.3.2"
"OlsonNames","closure","function",FALSE,FALSE,"base","3.3.2"
"Ops.Date","closure","function",TRUE,FALSE,"base","3.3.2"
"Ops.POSIXt","closure","function",TRUE,FALSE,"base","3.3.2"
"Ops.data.frame","closure","function",TRUE,FALSE,"base","3.3.2"
"Ops.difftime","closure","function",TRUE,FALSE,"base","3.3.2"
"Ops.factor","closure","function",TRUE,FALSE,"base","3.3.2"
"Ops.numeric_version","closure","function",TRUE,FALSE,"base","3.3.2"
"Ops.ordered","closure","function",TRUE,FALSE,"base","3.3.2"
"Position","closure","function",FALSE,FALSE,"base","3.3.2"
"R.Version","closure","function",FALSE,FALSE,"base","3.3.2"
"R.home","closure","function",FALSE,FALSE,"base","3.3.2"
"R.version","list","simple.list",FALSE,FALSE,"base","3.3.2"
"R.version.string","character","character",FALSE,FALSE,"base","3.3.2"
"RNGkind","closure","function",FALSE,FALSE,"base","3.3.2"
"RNGversion","closure","function",FALSE,FALSE,"base","3.3.2"
"R_system_version","closure","function",FALSE,FALSE,"base","3.3.2"
"Re","builtin","function",FALSE,FALSE,"base","3.3.2"
"Recall","closure","function",FALSE,FALSE,"base","3.3.2"
"Reduce","closure","function",FALSE,FALSE,"base","3.3.2"
"Summary.Date","closure","function",TRUE,FALSE,"base","3.3.2"
"Summary.POSIXct","closure","function",TRUE,FALSE,"base","3.3.2"
"Summary.POSIXlt","closure","function",TRUE,FALSE,"base","3.3.2"
"Summary.data.frame","closure","function",TRUE,FALSE,"base","3.3.2"
"Summary.difftime","closure","function",TRUE,FALSE,"base","3.3.2"
"Summary.factor","closure","function",TRUE,FALSE,"base","3.3.2"
"Summary.numeric_version","closure","function",TRUE,FALSE,"base","3.3.2"
"Summary.ordered","closure","function",TRUE,FALSE,"base","3.3.2"
"Sys.Date","closure","function",FALSE,FALSE,"base","3.3.2"
"Sys.chmod","closure","function",FALSE,FALSE,"base","3.3.2"
"Sys.getenv","closure","function",FALSE,FALSE,"base","3.3.2"
"Sys.getlocale","closure","function",FALSE,FALSE,"base","3.3.2"
"Sys.getpid","closure","function",FALSE,FALSE,"base","3.3.2"
"Sys.glob","closure","function",FALSE,FALSE,"base","3.3.2"
"Sys.info","closure","function",FALSE,FALSE,"base","3.3.2"
"Sys.localeconv","closure","function",FALSE,FALSE,"base","3.3.2"
