"name","type","class","exported","generic","args","package","Rversion"
".Depends","character","character","FALSE","FALSE","NA","KernSmooth","3.4.4"
"bkde","closure","function","TRUE","FALSE","(x, kernel = ""normal"", canonical = FALSE, bandwidth,     gridsize = 401L, range.x, truncate = TRUE) ","KernSmooth","3.4.4"
"bkde2D","closure","function","TRUE","FALSE","(x, bandwidth, gridsize = c(51L, 51L), range.x, truncate = TRUE) ","KernSmooth","3.4.4"
"bkfe","closure","function","TRUE","FALSE","(x, drv, bandwidth, gridsize = 401L, range.x, binned = FALSE,     truncate = TRUE) ","KernSmooth","3.4.4"
"dpih","closure","function","TRUE","FALSE","(x, scalest = ""minim"", level = 2L, gridsize = 401L,     range.x = range(x), truncate = TRUE) ","KernSmooth","3.4.4"
"dpik","closure","function","TRUE","FALSE","(x, scalest = ""minim"", level = 2L, kernel = ""normal"",     canonical = FALSE, gridsize = 401L, range.x = range(x), truncate = TRUE) ","KernSmooth","3.4.4"
"dpill","closure","function","TRUE","FALSE","(x, y, blockmax = 5, divisor = 20, trim = 0.01, proptrun = 0.05,     gridsize = 401L, range.x = range(x), truncate = TRUE) ","KernSmooth","3.4.4"
"locpoly","closure","function","TRUE","FALSE","(x, y, drv = 0L, degree, kernel = ""normal"", bandwidth,     gridsize = 401L, bwdisc = 25, range.x, binned = FALSE, truncate = TRUE) ","KernSmooth","3.4.4"
".Depends","character","character","FALSE","FALSE","NA","MASS","3.4.4"
"Aids2","list","data.frame","FALSE","FALSE","NA","MASS","3.4.4"
"Animals","list","data.frame","FALSE","FALSE","NA","MASS","3.4.4"
"Boston","list","data.frame","FALSE","FALSE","NA","MASS","3.4.4"
"Cars93","list","data.frame","FALSE","FALSE","NA","MASS","3.4.4"
"Cushings","list","data.frame","FALSE","FALSE","NA","MASS","3.4.4"
"DDT","double","numeric","FALSE","FALSE","NA","MASS","3.4.4"
"GAGurine","list","data.frame","FALSE","FALSE","NA","MASS","3.4.4"
"Insurance","list","data.frame","FALSE","FALSE","NA","MASS","3.4.4"
"Melanoma","list","data.frame","FALSE","FALSE","NA","MASS","3.4.4"
"Null","closure","function","TRUE","FALSE","(M) ","MASS","3.4.4"
"OME","list","data.frame","FALSE","FALSE","NA","MASS","3.4.4"
"Pima.te","list","data.frame","FALSE","FALSE","NA","MASS","3.4.4"
"Pima.tr","list","data.frame","FALSE","FALSE","NA","MASS","3.4.4"
"Pima.tr2","list","data.frame","FALSE","FALSE","NA","MASS","3.4.4"
"Rabbit","list","data.frame","FALSE","FALSE","NA","MASS","3.4.4"
"Rubber","list","data.frame","FALSE","FALSE","NA","MASS","3.4.4"
"SP500","double","numeric","FALSE","FALSE","NA","MASS","3.4.4"
"Shepard","closure","function","TRUE","FALSE","(d, x, p = 2) ","MASS","3.4.4"
"Sitka","list","data.frame","FALSE","FALSE","NA","MASS","3.4.4"
"Sitka89","list","data.frame","FALSE","FALSE","NA","MASS","3.4.4"
"Skye","list","data.frame","FALSE","FALSE","NA","MASS","3.4.4"
"Traffic","list","data.frame","FALSE","FALSE","NA","MASS","3.4.4"
"UScereal","list","data.frame","FALSE","FALSE","NA","MASS","3.4.4"
"UScrime","list","data.frame","FALSE","FALSE","NA","MASS","3.4.4"
"VA","list","data.frame","FALSE","FALSE","NA","MASS","3.4.4"
"abbey","double","numeric","FALSE","FALSE","NA","MASS","3.4.4"
"accdeaths","double","ts","FALSE","FALSE","NA","MASS","3.4.4"
"addterm","closure","function","TRUE","FALSE","(object, ...) ","MASS","3.4.4"
"anorexia","list","data.frame","FALSE","FALSE","NA","MASS","3.4.4"
"area","closure","function","TRUE","FALSE","(f, a, b, ..., fa = f(a, ...), fb = f(b, ...), limit = 10,     eps = 1e-05) ","MASS","3.4.4"
"as.fractions","closure","function","TRUE","FALSE","(x) ","MASS","3.4.4"
"bacteria","list","data.frame","FALSE","FALSE","NA","MASS","3.4.4"
"bandwidth.nrd","closure","function","TRUE","FALSE","(x) ","MASS","3.4.4"
"bcv","closure","function","TRUE","FALSE","(x, nb = 1000, lower = 0.1 * hmax, upper = hmax) ","MASS","3.4.4"
"beav1","list","data.frame","FALSE","FALSE","NA","MASS","3.4.4"
"beav2","list","data.frame","FALSE","FALSE","NA","MASS","3.4.4"
"biopsy","list","data.frame","FALSE","FALSE","NA","MASS","3.4.4"
"birthwt","list","data.frame","FALSE","FALSE","NA","MASS","3.4.4"
"boxcox","closure","function","TRUE","FALSE","(object, ...) ","MASS","3.4.4"
"cabbages","list","data.frame","FALSE","FALSE","NA","MASS","3.4.4"
"caith","list","data.frame","FALSE","FALSE","NA","MASS","3.4.4"
"cats","list","data.frame","FALSE","FALSE","NA","MASS","3.4.4"
"cement","list","data.frame","FALSE","FALSE","NA","MASS","3.4.4"
"chem","double","numeric","FALSE","FALSE","NA","MASS","3.4.4"
"con2tr","closure","function","TRUE","FALSE","(obj) ","MASS","3.4.4"
"contr.sdif","closure","function","TRUE","FALSE","(n, contrasts = TRUE, sparse = FALSE) ","MASS","3.4.4"
"coop","list","data.frame","FALSE","FALSE","NA","MASS","3.4.4"
"corresp","closure","function","TRUE","FALSE","(x, ...) ","MASS","3.4.4"
"cov.mcd","closure","function","TRUE","FALSE","(...) ","MASS","3.4.4"
"cov.mve","closure","function","TRUE","FALSE","(...) ","MASS","3.4.4"
"cov.rob","closure","function","TRUE","FALSE","(x, cor = FALSE, quantile.used = floor((n + p + 1)/2),     method = c(""mve"", ""mcd"", ""classical""), nsamp = ""best"", seed) ","MASS","3.4.4"
"cov.trob","closure","function","TRUE","FALSE","(x, wt = rep(1, n), cor = FALSE, center = TRUE, nu = 5,     maxit = 25, tol = 0.01) ","MASS","3.4.4"
"cpus","list","data.frame","FALSE","FALSE","NA","MASS","3.4.4"
"crabs","list","data.frame","FALSE","FALSE","NA","MASS","3.4.4"
"deaths","double","ts","FALSE","FALSE","NA","MASS","3.4.4"
"denumerate","closure","function","TRUE","FALSE","(x) ","MASS","3.4.4"
"dose.p","closure","function","TRUE","FALSE","(obj, cf = 1:2, p = 0.5) ","MASS","3.4.4"
"drivers","double","ts","FALSE","FALSE","NA","MASS","3.4.4"
"dropterm","closure","function","TRUE","FALSE","(object, ...) ","MASS","3.4.4"
"eagles","list","data.frame","FALSE","FALSE","NA","MASS","3.4.4"
"enlist","closure","function","TRUE","FALSE","(vec) ","MASS","3.4.4"
"epil","list","data.frame","FALSE","FALSE","NA","MASS","3.4.4"
"eqscplot","closure","function","TRUE","FALSE","(x, y, ratio = 1, tol = 0.04, uin, ...) ","MASS","3.4.4"
"farms","list","data.frame","FALSE","FALSE","NA","MASS","3.4.4"
"fbeta","closure","function","TRUE","FALSE","(x, alpha, beta) ","MASS","3.4.4"
"fgl","list","data.frame","FALSE","FALSE","NA","MASS","3.4.4"
"fitdistr","closure","function","TRUE","FALSE","(x, densfun, start, ...) ","MASS","3.4.4"
"forbes","list","data.frame","FALSE","FALSE","NA","MASS","3.4.4"
"fractions","closure","function","TRUE","FALSE","(x, cycles = 10, max.denominator = 2000, ...) ","MASS","3.4.4"
"frequency.polygon","closure","function","TRUE","FALSE","(x, nclass = nclass.freq(x), xlab = """", ylab = """", ...) ","MASS","3.4.4"
"galaxies","double","numeric","FALSE","FALSE","NA","MASS","3.4.4"
"gamma.dispersion","closure","function","TRUE","FALSE","(object, ...) ","MASS","3.4.4"
"gamma.shape","closure","function","TRUE","FALSE","(object, ...) ","MASS","3.4.4"
"gehan","list","data.frame","FALSE","FALSE","NA","MASS","3.4.4"
"genotype","list","data.frame","FALSE","FALSE","NA","MASS","3.4.4"
"geyser","list","data.frame","FALSE","FALSE","NA","MASS","3.4.4"
"gilgais","list","data.frame","FALSE","FALSE","NA","MASS","3.4.4"
