name,type,class,S3method,generic,package,Rversion
!,builtin,function,FALSE,FALSE,base,3.4.0
!.hexmode,closure,function,TRUE,FALSE,base,3.4.0
!.octmode,closure,function,TRUE,FALSE,base,3.4.0
!=,builtin,function,FALSE,TRUE,base,3.4.0
$,special,function,FALSE,TRUE,base,3.4.0
$.DLLInfo,closure,function,TRUE,FALSE,base,3.4.0
$.data.frame,closure,function,TRUE,FALSE,base,3.4.0
$.package_version,closure,function,TRUE,FALSE,base,3.4.0
$<-,special,function,FALSE,TRUE,base,3.4.0
$<-.data.frame,closure,function,TRUE,FALSE,base,3.4.0
%%,builtin,function,FALSE,TRUE,base,3.4.0
%*%,builtin,function,FALSE,FALSE,base,3.4.0
%/%,builtin,function,FALSE,TRUE,base,3.4.0
%in%,closure,function,FALSE,FALSE,base,3.4.0
%o%,closure,function,FALSE,FALSE,base,3.4.0
%x%,closure,function,FALSE,FALSE,base,3.4.0
&,builtin,function,FALSE,TRUE,base,3.4.0
&&,special,function,FALSE,FALSE,base,3.4.0
&.hexmode,closure,function,TRUE,FALSE,base,3.4.0
&.octmode,closure,function,TRUE,FALSE,base,3.4.0
(,builtin,function,FALSE,FALSE,base,3.4.0
*,builtin,function,FALSE,TRUE,base,3.4.0
*.difftime,closure,function,TRUE,FALSE,base,3.4.0
+,builtin,function,FALSE,TRUE,base,3.4.0
+.Date,closure,function,TRUE,FALSE,base,3.4.0
+.POSIXt,closure,function,TRUE,FALSE,base,3.4.0
-,builtin,function,FALSE,TRUE,base,3.4.0
-.Date,closure,function,TRUE,FALSE,base,3.4.0
-.POSIXt,closure,function,TRUE,FALSE,base,3.4.0
/,builtin,function,FALSE,TRUE,base,3.4.0
/.difftime,closure,function,TRUE,FALSE,base,3.4.0
:,builtin,function,FALSE,FALSE,base,3.4.0
::,closure,function,FALSE,FALSE,base,3.4.0
:::,closure,function,FALSE,FALSE,base,3.4.0
<,builtin,function,FALSE,TRUE,base,3.4.0
<-,special,function,FALSE,FALSE,base,3.4.0
<<-,special,function,FALSE,FALSE,base,3.4.0
<=,builtin,function,FALSE,TRUE,base,3.4.0
=,special,function,FALSE,FALSE,base,3.4.0
==,builtin,function,FALSE,TRUE,base,3.4.0
>,builtin,function,FALSE,TRUE,base,3.4.0
>=,builtin,function,FALSE,TRUE,base,3.4.0
@,special,function,FALSE,FALSE,base,3.4.0
@<-,special,function,FALSE,FALSE,base,3.4.0
Arg,builtin,function,FALSE,FALSE,base,3.4.0
Conj,builtin,function,FALSE,FALSE,base,3.4.0
Cstack_info,closure,function,FALSE,FALSE,base,3.4.0
Encoding,closure,function,FALSE,FALSE,base,3.4.0
Encoding<-,closure,function,FALSE,FALSE,base,3.4.0
F,logical,logical,FALSE,FALSE,base,3.4.0
Filter,closure,function,FALSE,FALSE,base,3.4.0
Find,closure,function,FALSE,FALSE,base,3.4.0
I,closure,function,FALSE,FALSE,base,3.4.0
